destination_id,destination,district,best_season,tags,main_category,activities,difficulty_level,accessibility,latitude,longitude,province,description,transportation,attraction_total_reviews,attraction_sample_reviews,destination_image_path,ratings,popularity,crowd_level
63,barahachhetra,sunsari,"All year, esp. Jan","Pilgrimage, Temple, River Confluence",Natural Attractions,"Pilgrimage, Religious Rituals, River Bathing, Cultural Events",Easy,Road / Vehicle Accessible (<=1 km walk),26.8667,87.1667,1,"Barahachhetra, located at the confluence of the Koshi and Koka rivers in Sunsari district, is one of Nepal’s most sacred Hindu pilgrimage sites. It is believed to be the place where Lord Vishnu took the form of Baraha (boar) to rescue the earth, making it a major destination during festivals like Maghe Sankranti.","From Kathmandu, drive to Dharan and continue to Barahachhetra near the confluence of the Sapta Koshi River.",432,One of Nepal’s holiest confluences dedicated to Lord Vishnu.,Barahachhetra\Barahachhetra 1.1.jpeg; Barahachhetra\Barahachhetra 1.10.jpeg; Barahachhetra\Barahachhetra 1.2.jpeg; Barahachhetra\Barahachhetra 1.3.jpeg; Barahachhetra\Barahachhetra 1.4.jpeg; Barahachhetra\Barahachhetra 1.5.jpeg; Barahachhetra\Barahachhetra 1.6.jpeg; Barahachhetra\Barahachhetra 1.7.jpeg; Barahachhetra\Barahachhetra 1.8.jpeg; Barahachhetra\Barahachhetra 1.9.jpeg,3.9,35.2,Moderate
64,ilaka bazaar & village homestays,ilam,Oct–Mar,Village; Cultural; Tea Garden,Cultural & Religious Sites,Cultural Tour; Homestay Experience; Tea Garden Visits; Photography,Easy,Road Accessible,26.92,88.02,1,"Ilaka Bazaar is a lively market hub in eastern hills, surrounded by traditional villages. The area is increasingly popular for village homestays, where visitors can experience authentic Kirati and Rai lifestyles, local cuisine, and cultural hospitality.","From Kathmandu, fly or drive to Bhojpur and continue to Ilaka Bazaar for local village homestays.",351,Experience authentic local life and hospitality in Bhojpur hills.,,4.3,32.8,Low
65,gorja,taplejung,"March–May, Sept–Nov","Village, Nature, Trekking",Natural Attractions,"Hiking, Cultural Exploration",Moderate,Road / Vehicle Accessible (<=1 km walk),27.35263,87.60211,1,Gorja is a rural settlement known for its serene environment and traditional farming practices. It reflects the simple Himalayan lifestyle and offers scenic views of terraced fields and surrounding hills,"From Kathmandu, travel toward Tehrathum District by road and continue locally to reach the village of Gorja.",423,A quiet mountain village known for its simplicity and scenic backdrop.,Gorja\download (1).jpeg; Gorja\download (10).jpeg; Gorja\download (2).jpeg; Gorja\download.jpeg; Gorja\images (1).jpeg; Gorja\images (2).jpeg; Gorja\images (3).jpeg; Gorja\images (4).jpeg; Gorja\images (5).jpeg; Gorja\images (6).jpeg; Gorja\images.jpeg,4.1,35.7,Moderate
66,chhankhola waterfall,sankhuwasabha,"March–May, Sept–Nov","Waterfall, Nature, Scenic Spot",Natural Attractions,"Hiking, Sightseeing",Moderate,"Road Accessible,Short hike from nearest roadhead",27.286,87.423,1,"Chhankhola Waterfall is a hidden gem in the eastern hills, cascading beautifully amidst lush greenery. It is a popular spot for short hikes and picnics, offering refreshing natural scenery and cool waters.","From Kathmandu, drive to Dhankuta District and continue to Chhankhola village to visit the waterfall.",78,A hidden cascade offering refreshing natural beauty and calm.,,4.4,19.6,Low
67,mehele,taplejung,"March–May, Sept–Nov","Village, Nature, Trekking",Trekking & Adventure,"Hiking, Cultural Exploration",Moderate,Road accessible,27.286,87.423,1,"Mehele is a traditional village in the eastern region, home to Kirati communities. It is known for its cultural heritage, festivals, and agricultural practices that sustain the local population.","From Kathmandu, travel by road to Panchthar District and continue toward Mehele village.",587,A small hillside settlement rich in traditional Limbu heritage.,Mehele\download (1).jpeg; Mehele\download (2).jpeg; Mehele\download (3).jpeg; Mehele\download (4).jpeg; Mehele\download (5).jpeg; Mehele\download (6).jpeg; Mehele\download (7).jpeg; Mehele\download (8).jpeg; Mehele\download (9).jpeg; Mehele\download.jpeg,4.7,38.2,Moderate
68,okhre,sankhuwasabha,"March–May, Sept–Nov","Village, Nature, Trekking",Trekking & Adventure,"Hiking, Sightseeing, Waterfalls",Moderate,"Road / Vehicle Accessible (<=1 km walk),short hike",27.57974,86.22138,1,Okhre is a hillside settlement with panoramic views of valleys and mountains. It is often visited for its peaceful environment and traditional village culture.,"From Kathmandu, drive toward Dhankuta and continue along the local route to Okhre village.",623,A tranquil rural spot surrounded by lush terraced farms.,Okhre\download (1).jpeg; Okhre\download (10).jpeg; Okhre\download (2).jpeg; Okhre\download (3).jpeg; Okhre\download (4).jpeg; Okhre\download (5).jpeg; Okhre\download (6).jpeg; Okhre\download (7).jpeg; Okhre\download (8).jpeg; Okhre\download.jpeg,4.5,46.9,Moderate
69,gairi pangma,sankhuwasabha,"March–May, Sept–Nov","Village, Nature, Trekking",Trekking & Adventure,"Hiking, Cultural Exploration",Moderate,Accessible via road and short hike,27.286,87.423,1,"Gairi Pangma is a Limbu village in Sankhuwasabha district, rich in Yakthung (Limbu) traditions. It is known for its cultural dances, rituals, and warm hospitality.","From Kathmandu, fly or drive to Sankhuwasabha and continue by local transport to Gairi Pangma.",458,A picturesque hamlet offering views of Makalu and surrounding valleys.,Gairi Pangma\download (1).jpeg; Gairi Pangma\download (2).jpeg; Gairi Pangma\download (3).jpeg; Gairi Pangma\download (4).jpeg; Gairi Pangma\download (5).jpeg; Gairi Pangma\download (6).jpeg; Gairi Pangma\download (7).jpeg; Gairi Pangma\download (8).jpeg; Gairi Pangma\download (9).jpeg; Gairi Pangma\download.jpeg,4.4,49.2,Moderate
70,nesum,sankhuwasabha,"March–May, Sept–Nov","Village, Nature, Trekking",Natural Attractions,"Hiking, Cultural Exploration",Moderate,"Road accessible,short hike from nearest roadhead",27.286,87.423,1,"Nesum is a rural village settlement in Taplejung district, reflecting traditional Himalayan lifestyles. It is surrounded by terraced fields and forests, making it a peaceful retreat","From Kathmandu, fly or drive to Taplejung and continue toward the rural village of Nesum.",417,A peaceful mountain village untouched by modern life.,Nesum\download (1).jpeg; Nesum\download (10).jpeg; Nesum\download (2).jpeg; Nesum\download (3).jpeg; Nesum\download (4).jpeg; Nesum\download (5).jpeg; Nesum\download (6).jpeg; Nesum\download (7).jpeg; Nesum\download (8).jpeg; Nesum\download (9).jpeg; Nesum\download.jpeg,4.1,16.8,Low
71,change hiti,sankhuwasabha,"March–May, Sept–Nov","Village, Nature, Trekking",Natural Attractions,"Hiking, Sightseeing, Cultural Exploration",Moderate,Road Accessible + Short Hike,26.983,87.2835,1,"Change Hiti is a historic stone water spout, representing traditional Nepali architecture and community water systems. Such hiti structures are culturally significant as they provided drinking water for centuries.","From Kathmandu, travel by road toward Ilam and visit the natural spring area known as Change Hiti.",382,An ancient stone spout reflecting traditional Newari craftsmanship.,Change Hiti\download (1).jpeg; Change Hiti\download (11).jpeg; Change Hiti\download (2).jpeg; Change Hiti\download (3).jpeg; Change Hiti\download (4).jpeg; Change Hiti\download (5).jpeg; Change Hiti\download (6).jpeg; Change Hiti\download (7).jpeg; Change Hiti\download (8).jpeg; Change Hiti\download.jpeg,4.5,43.6,Moderate
72,banjhogara,taplejung,"March–May, Sep–Nov","Offbeat, Nature, Rural",Natural Attractions,"Village walks, Cultural immersion, Photography",Easy–Moderate,Road accessible,27.35658,87.68172,1,"Banjhogara is a small settlement in the eastern hills, known for its agricultural fields and traditional homes. It reflects the rural charm of Nepal’s hill communities","From Kathmandu, drive toward Dhankuta District and continue locally to Banjhogara village.",131,A hidden gem of rural beauty and cultural authenticity.,Banjhogara\download (1).jpeg; Banjhogara\download (10).jpeg; Banjhogara\download (2).jpeg; Banjhogara\download (3).jpeg; Banjhogara\download (4).jpeg; Banjhogara\download (5).jpeg; Banjhogara\download (6).jpeg; Banjhogara\download (7).jpeg; Banjhogara\download (8).jpeg; Banjhogara\download (9).jpeg; Banjhogara\download.jpeg,4.3,32.9,Low
73,panchami danda,taplejung,"March–May, Sep–Nov","Offbeat, Nature, Rural",Natural Attractions,"Hilltop walks, Photography, Cultural immersion",Easy–Moderate,Road / Vehicle Accessible (<=1 km walk),27.35658,87.68172,1,Panchami Danda is a hilltop viewpoint offering panoramic views of surrounding valleys and mountains. It is often visited during festivals and local gatherings.,"From Kathmandu, travel toward Dhankuta District and continue locally to Panchami Danda viewpoint.",81,Offers wide panoramas of rolling hills and Himalayan ranges.,Panchami Danda\download (1).jpeg; Panchami Danda\download (11).jpeg; Panchami Danda\download (2).jpeg; Panchami Danda\download (3).jpeg; Panchami Danda\download (4).jpeg; Panchami Danda\download (5).jpeg; Panchami Danda\download (6).jpeg; Panchami Danda\download (7).jpeg; Panchami Danda\download (8).jpeg; Panchami Danda\download.jpeg,4,20.3,Low
74,yakthung civilization,"limbuwan region (east nepal, sikkim, darjeeling)","March–May, Sep–Nov","Indigenous, Kirat, Limbu, Yakthung, Mundhum",Village & Rural Tourism,"Limbu language, Mundhum scriptures, Sirijunga script, Yuma Sammang worship, Thibong Yakthung, Kipat land system",Moderate,"Accessible via regional roads from Phungling, Ilam, and Sikkim",27.35658,87.68172,1,"Yakthung civilization refers to the Limbu people and their rich cultural heritage in eastern Nepal. Known for their Mundhum (oral scriptures), traditional dances, and rituals, the Yakthung community has preserved its identity for centuries.","From Kathmandu, travel to Panchthar or Taplejung to explore sites related to the ancient Yakthung (Limbu) civilization.",385,The living legacy of the Limbu people’s ancient culture.,Yakthung civilization\download (1).jpeg; Yakthung civilization\download (2).jpeg; Yakthung civilization\download (3).jpeg; Yakthung civilization\download (4).jpeg; Yakthung civilization\download (5).jpeg; Yakthung civilization\download (6).jpeg; Yakthung civilization\download (7).jpeg; Yakthung civilization\download (8).jpeg; Yakthung civilization\download (9).jpeg; Yakthung civilization\download.jpeg,4.5,38.5,Moderate
75,santhakra,taplejung,"March–May, Sep–Nov","Rural, Nature, Limbu",Natural Attractions,"Village walks, Cultural immersion, Photography",Easy–Moderate,Road access,27.38335,87.61093,1,"Santhakra is a rural settlement in the eastern hills, reflecting traditional farming and Kirati culture. It is surrounded by scenic landscapes and forests.","From Kathmandu, drive to Tehrathum District and continue to the local village of Santhakra.",734,A serene upland village surrounded by green fields and ridges.,Santhakra\download (1).jpeg; Santhakra\download (10).jpeg; Santhakra\download (2).jpeg; Santhakra\download (3).jpeg; Santhakra\download.jpeg; Santhakra\download.png,4.2,42.1,Moderate
76,gurase pokhari,taplejung,"March–May, Sep–Nov","Offbeat, Nature, Limbu",Natural Attractions,"Trekking, Photography, Cultural immersion",Moderate,Road access,27.38335,87.61093,1,"Gurase Pokhari is a beautiful pond located in Terhathum district, surrounded by rhododendron forests. It is a popular trekking stop and offers tranquil natural scenery","From Kathmandu, drive toward Dhankuta and continue uphill to Gurase Pokhari along the Tinjure ridge area.",65,A highland lake famous for rhododendron forests and calm reflection views.,Gurase Pokhari\download (1).jpeg; Gurase Pokhari\download (2).jpeg; Gurase Pokhari\download (3).jpeg; Gurase Pokhari\download (4).jpeg; Gurase Pokhari\download (5).jpeg; Gurase Pokhari\download (6).jpeg; Gurase Pokhari\download (7).jpeg; Gurase Pokhari\download (8).jpeg; Gurase Pokhari\download.jpeg; Gurase Pokhari\images.jpeg,4,16.3,Low
77,lingtep,taplejung,"March–May, Sep–Nov","Limbu, Culture, Nature",Natural Attractions,"Trekking, Cultural immersion, Photography",Moderate,Road access,27.38335,87.61093,1,"Lingtep is a village in Terhathum district, known for its cultural diversity and agricultural practices. It is a peaceful settlement with scenic views of hills and valleys.","From Kathmandu, travel toward Taplejung District and continue to Lingtep village region.",447,A peaceful hillside village known for tea and traditional Limbu homes.,Lingtep\download (1).jpeg; Lingtep\download (2).jpeg; Lingtep\download (3).jpeg; Lingtep\download (4).jpeg; Lingtep\download (5).jpeg; Lingtep\download (6).jpeg; Lingtep\download (7).jpeg; Lingtep\download (8).jpeg; Lingtep\download (9).jpeg; Lingtep\download.jpeg,4.2,41.4,Moderate
78,thukima,taplejung,"March–May, Sep–Nov","Limbu, Culture, Nature",Natural Attractions,"Trekking, Cultural immersion, Photography",Moderate,Road access,27.4439,87.6114,1,"Thukima is a rural village in Taplejung district, reflecting traditional Himalayan lifestyles. It is surrounded by terraced fields and forests, offering a glimpse into local culture","From Kathmandu, fly or drive to Taplejung and continue locally to Thukima village.",903,A scenic settlement offering close encounters with nature and culture.,Thukima\download (1).jpeg; Thukima\download (10).jpeg; Thukima\download (2).jpeg; Thukima\download (3).jpeg; Thukima\download.jpeg,4.2,41.4,Moderate
79,kipa chyoling gumba,taplejung,"March–May, Sep–Nov","Buddhist, Monastery, Cultural",Cultural & Religious Sites,"Pilgrimage, Photography, Cultural study",Easy–Moderate,Road Accessible,27.2735,87.9532,1,"Kipa Chyoling Gumba is a Buddhist monastery in eastern Nepal, serving as a spiritual center for local communities. It reflects Tibetan Buddhist architecture and practices","From Kathmandu, travel toward Bhojpur District and visit the Buddhist monastery of Kipa Chyoling Gumba.",1098,A serene monastery promoting peace amid lush surroundings.,Kipa Chyoling Gumba\download (1).jpeg; Kipa Chyoling Gumba\download (2).jpeg; Kipa Chyoling Gumba\download (3).jpeg; Kipa Chyoling Gumba\download (4).jpeg; Kipa Chyoling Gumba\download.jpeg,4.1,74.1,High
80,nalbu,taplejung,"March–May, Sep–Nov","Rural, Limbu, Nature",Natural Attractions,"Village walks, Cultural immersion, Photography",Easy,Road accessible,27.4719,87.609,1,"Nalbu is a rural settlement in Taplejung district, surrounded by hills and forests. It represents traditional Himalayan village life and agriculture.","From Kathmandu, drive toward Sankhuwasabha and continue by local transport to Nalbu village.",393,A small rural community set among terraced fields and rolling hills.,Nalbu\download (1).jpeg; Nalbu\download (2).jpeg; Nalbu\download (3).jpeg; Nalbu\download (5).jpeg; Nalbu\download.jpeg,4.2,39.3,Moderate
81,tapethok,taplejung,"March–May, Sep–Nov","Limbu, Culture, Nature",Natural Attractions,"Trekking, Cultural immersion, Photography",Moderate,Road Accessible,27.49235,87.8037,1,"Tapethok is a village in Taplejung district, serving as a gateway to Kanchenjunga trekking routes. It is known for its cultural diversity and scenic landscapes.","From Kathmandu, fly or drive to Taplejung and travel toward Tapethok village area.Travel by flight from Kathmandu to Suketar, then drive to Tapethok village in Taplejung District.",136,A charming stopover village on the Kanchenjunga trekking route. A riverside village on the Kanchenjunga trekking trail.,Tapethok\download (1).jpeg; Tapethok\download (2).jpeg; Tapethok\download (3).jpeg; Tapethok\download (4).jpeg; Tapethok\download.jpeg,4.5,34.2,Low
82,yamfudin,taplejung,"March–May, Sep–Nov","Limbu, Sherpa, Rai, Trekking, Nature",Natural Attractions,"Kanchenjunga Circuit Trek, Cultural immersion, Photography",Moderate,Road Accessible,27.462,87.9454,1,"Yamfudin is a remote village in Taplejung, often visited by trekkers heading towards Kanchenjunga. It is surrounded by forests and rivers, offering a peaceful retreat","From Kathmandu, travel toward Taplejung and continue trekking to the remote settlement of Yamfudin.",542,A remote hamlet welcoming trekkers with warmth and simplicity.,Yamfudin\download (1).jpeg; Yamfudin\download (2).jpeg; Yamfudin\download (3).jpeg; Yamfudin\download (5).jpeg; Yamfudin\download.jpeg,4.3,37.3,Moderate
83,lelep,taplejung,"March–May, Sep–Nov","Limbu, Sherpa, Rai, Trekking, Nature",Natural Attractions,"Kanchenjunga Circuit Trek, Cultural immersion, Photography",Moderate,Road + Short Trek,27.52721,87.8012,1,"Lelep is a village in Taplejung district, serving as an entry point to the Kanchenjunga Conservation Area. It is known for its cultural richness and natural beauty.","From Kathmandu, travel toward Taplejung and continue to Lelep village near the Kanchenjunga region.",367,The gateway village to Kanchenjunga Conservation Area with scenic views.,Lelep\download (1).jpeg; Lelep\download (2).jpeg; Lelep\download (3).jpeg; Lelep\download (4).jpeg; Lelep\download.jpeg,4.7,27.5,Low
84,kumbhakarna,taplejung,"March–May, Sep–Nov","Mountain, Trekking, Nature",Natural Attractions,"Trekking, Mountaineering, Photography",Very Difficult,Trekking Trails,27.6825,87.9525,1,"Kumbhakarna, also known as Jannu, is a majestic peak in the Kanchenjunga region, standing at 7,710 meters. It is revered by locals and admired by climbers for its dramatic shape and spiritual significance","From Kathmandu, fly or drive to Taplejung and trek toward the Kumbhakarna (Jannu) Mountain viewpoint.",17,A majestic mountain peak known for its spiritual and natural grandeur.,Kumbhakarna\download (1).jpeg; Kumbhakarna\download (2).jpeg; Kumbhakarna\download (3).jpeg; Kumbhakarna\download (5).jpeg; Kumbhakarna\download.jpeg,4.8,14.6,Very Low
85,ekamba,sunsari,Year-round,"Urban, Agriculture",Village & Rural Tourism,"Urban exploration, Agriculture, Local culture",Easy,Road accessible,26.65,87.2833,1,"Ekamba is a settlement in Sunsari district, known for its agricultural fields and traditional village life. It reflects the rural charm of eastern Nepal, with farming communities sustaining themselves through rice and maize cultivation.","From Kathmandu, travel toward Sunsari District and continue to the local area of Ekamba near Inaruwa.",258,A peaceful countryside area with traditional village lifestyle.,Ekamba\download (1).jpeg; Ekamba\download (2).jpeg; Ekamba\download (3).jpeg; Ekamba\download (4).jpeg; Ekamba\download.jpeg,4.3,47.2,Moderate
86,bhurkee,sunsari,Year-round,"Urban, Agriculture",Village & Rural Tourism,"Urban exploration, Agriculture, Local culture",Easy,Road Accessible,26.65,87.2833,1,"Bhurkee is a small village in the eastern hills, surrounded by terraced fields and forests. It is representative of the Kirati lifestyle, where traditional practices and community bonds remain strong.","From Kathmandu, travel toward Ilam District and continue locally to Bhurkee village.",100,A small hillside village surrounded by pristine natural beauty.,Bhurkee\download (1).jpeg; Bhurkee\download (2).jpeg; Bhurkee\download (3).jpeg; Bhurkee\download (5).jpeg; Bhurkee\download.jpeg,4.3,25,Low
87,bahuni,taplejung,"March–May, Sep–Nov","Mountain, Trekking, Nature",Natural Attractions,"Trekking, Mountaineering, Photography",Very Difficult,Trekking from Taplejung via Yamphudin and Ramche,27.682,87.9525,1,"Bahuni lies in Morang district and is a culturally diverse settlement. It is known for its fertile land and farming practices, with communities engaged in agriculture and local trade.","From Kathmandu, drive toward Morang District and continue to Bahuni area near Biratnagar.",348,A lively village community known for its greenery and simplicity.,Bahuni\download (1).jpeg; Bahuni\download (2).jpeg; Bahuni\download (3).jpeg; Bahuni\download (4).jpeg; Bahuni\download.jpeg,4.6,23.6,Low
88,keroun,morang,Year-round,"Rural, Agriculture",Village & Rural Tourism,"Rural exploration, Agriculture, Local culture",Easy,Road accessible,26.5917,87.4917,1,"Keroun is a rural settlement in Morang district, famous for its agricultural productivity. It is a hub for local farmers and reflects the traditional eastern Terai lifestyle","From Kathmandu, drive toward Morang District and continue toward Keroun village.",1478,A flatland area blending rural charm with growing modern touch.,Keroun\download (1).jpeg; Keroun\download (2).jpeg; Keroun\download (3).jpeg; Keroun\download (5).jpeg; Keroun\download.jpeg,4.4,45.9,Moderate
89,daulatpur,taplejung,"March–May, Sep–Nov","Mountain, Trekking, Nature",Natural Attractions,"Trekking, Mountaineering, Photography",Very Difficult,Trekking from Taplejung via Yamphudin and Ramche,27.6825,87.9525,1,"Daulatpur is a village in Sunsari district, known for its farming communities and cultural diversity. It is surrounded by fertile plains and serves as a local trading center.","From Kathmandu, travel toward Sunsari or Morang District and reach Daulatpur village.",104,A quiet settlement offering serene rural scenery.,Daulatpur\download (1).jpeg; Daulatpur\download (2).jpeg; Daulatpur\download (3).jpeg; Daulatpur\download (4).jpeg; Daulatpur\download.jpeg,4.9,26.2,Low
90,dalelee bazaar,morang,Year-round,"Rural, Agriculture",Village & Rural Tourism,"Rural exploration, Agriculture, Local culture",Easy,Road accessible,26.5917,87.4917,1,"Dalelee Bazaar is a lively market hub in the eastern hills, where villagers gather for trade and social interaction. It is a cultural meeting point, offering local goods and traditional food.","From Kathmandu, drive toward Tehrathum District and continue to Dalelee Bazaar.",109,A local trade hub alive with market energy and mountain views.,Dalelee Bazaar\download (1).jpeg; Dalelee Bazaar\download (2).jpeg; Dalelee Bazaar\download (3).jpeg; Dalelee Bazaar\download (5).jpeg; Dalelee Bazaar\download.jpeg,4.6,27.4,Low
91,maharaaj thaan,morang,Year-round,"Rural, Agriculture",Village & Rural Tourism,"Rural exploration, Local culture, Agriculture",Easy,Road Accessible,26.625,87.3,1,"Maharaaj Thaan is a sacred religious site in Sunsari district. It is revered by locals as a place of worship and pilgrimage, often visited during festivals and rituals.","From Kathmandu, drive toward Sunsari District and visit Maharaaj Thaan religious site.",743,A spiritual site of devotion surrounded by peaceful greenery.,Maharaaj Thaan\download (1).jpeg; Maharaaj Thaan\download (2).jpeg; Maharaaj Thaan\download (3).jpeg; Maharaaj Thaan\download (4).jpeg; Maharaaj Thaan\download.jpeg,4.5,50,Moderate
92,dohamna bazaar,morang,Year-round,"Rural, Market, Agriculture",Village & Rural Tourism,"Local trade, Rural exploration, Agriculture",Easy,Road access,26.62,87.29,1,"Dohamna Bazaar is a traditional market town in the eastern hills, serving as a hub for trade and cultural exchange. It is known for its vibrant atmosphere and local produce.","From Kathmandu, travel toward Tehrathum District and continue to Dohamna Bazaar.",593,A small local market connecting nearby rural communities.,Dohamna Bazaar\download (1).jpeg; Dohamna Bazaar\download (2).jpeg; Dohamna Bazaar\download (3).jpeg; Dohamna Bazaar\download (5).jpeg; Dohamna Bazaar\download.jpeg,4.4,37.1,Moderate
93,hoklabari,morang,Year-round,"Rural, Agriculture",Village & Rural Tourism,"Rural exploration, Local culture, Agriculture",Easy,Road access,26.6205,87.2925,1,"Hoklabari is a rural settlement in Sunsari district, surrounded by fertile plains. It is primarily an agricultural community, with rice and wheat as major crops.","From Kathmandu, drive toward Morang District and continue to Hoklabari village.",430,A peaceful rural village surrounded by farmlands and warm local hospitality.,Hoklabari\download (1).jpeg; Hoklabari\download (2).jpeg; Hoklabari\download (3).jpeg; Hoklabari\download (4).jpeg; Hoklabari\download.jpeg,4.3,49.8,Moderate
94,koshi tappu wetland (extension into province 2),sunsari,Oct–Mar,Wetland; Wildlife; Nature; Birdwatching,Natural Attractions,Birdwatching; Photography; Nature Walks; Safari,Easy,Road Accessible,26.6667,87,1,"Koshi Tappu Wetland is a Ramsar site and Nepal’s largest bird sanctuary, extending into Province 2. It is home to rare species like the wild water buffalo (Arna) and over 500 bird species, making it a paradise for birdwatchers.","From Kathmandu, drive or fly to Biratnagar and continue toward the Koshi Tappu Wetland area extending into Province 2.",245,A biodiverse paradise home to rare birds and aquatic life.,koshi tappu wetland (extension into province 2)\Koshi Tappu Wetland (extension into Province 2) 1.1.jpeg; koshi tappu wetland (extension into province 2)\Koshi Tappu Wetland (extension into Province 2) 1.10.jpeg; koshi tappu wetland (extension into province 2)\Koshi Tappu Wetland (extension into Province 2) 1.2.jpeg; koshi tappu wetland (extension into province 2)\Koshi Tappu Wetland (extension into Province 2) 1.3.jpeg; koshi tappu wetland (extension into province 2)\Koshi Tappu Wetland (extension into Province 2) 1.4.jpeg; koshi tappu wetland (extension into province 2)\Koshi Tappu Wetland (extension into Province 2) 1.5.jpeg; koshi tappu wetland (extension into province 2)\Koshi Tappu Wetland (extension into Province 2) 1.6.jpeg; koshi tappu wetland (extension into province 2)\Koshi Tappu Wetland (extension into Province 2) 1.7.jpeg; koshi tappu wetland (extension into province 2)\Koshi Tappu Wetland (extension into Province 2) 1.8.jpeg; koshi tappu wetland (extension into province 2)\Koshi Tappu Wetland (extension into Province 2) 1.9.jpeg,4.2,20.6,Low
95,jholunge pul chisang,morang,Year-round,"Suspension Bridge, Rural, Scenic",Natural Attractions,"Trekking, Sightseeing, Photography",Easy,"Road Accessible,walking",26.615,87.295,1,"Jholunge Pul in Chisang is a suspension bridge crossing the Koshi River. It is both a functional crossing and a scenic spot, offering views of the river and surrounding landscapes.","From Kathmandu, travel toward Taplejung and continue to the hanging bridge area of Jholunge Pul near Chisang.",312,A scenic suspension bridge offering thrilling river views.,Jholunge Pul Chisang\download (1).jpeg; Jholunge Pul Chisang\download (2).jpeg; Jholunge Pul Chisang\download (3).jpeg; Jholunge Pul Chisang\download (5).jpeg; Jholunge Pul Chisang\download.jpeg,3.9,26.7,Low
96,dipu chowk (shiva mandir),morang,Year-round,"Religious, Temple, Cultural",Cultural & Religious Sites,"Pilgrimage, Worship, Photography",Easy,Road accessible,26.6155,87.298,1,"Dipu Chowk is a bustling junction in Sunsari, notable for its Shiva Mandir. The temple is a spiritual center where devotees gather for worship, especially during Shivaratri.","From Kathmandu, drive toward Itahari in Sunsari and continue to Dipu Chowk where Shiva Mandir is located.",97,A serene spiritual site popular among local devotees.,Dipu chowk (Shiva Mandir)\download (4).jpeg; Dipu chowk (Shiva Mandir)\images (1).jpeg; Dipu chowk (Shiva Mandir)\images (2).jpeg; Dipu chowk (Shiva Mandir)\images (3).jpeg; Dipu chowk (Shiva Mandir)\images.jpeg,4,24.3,Low
97,borabandh,morang,Year-round,"Rural, Agriculture",Village & Rural Tourism,"Rural exploration, Local culture, Agriculture",Easy,Road accessible,26.617,87.293,1,"Borabandh is a rural settlement surrounded by forests and fields. It reflects the simple lifestyle of eastern hill communities, with agriculture as the main livelihood.","From Kathmandu, travel toward Morang District and continue locally to Borabandh area.",416,A tranquil spot perfect for nature walks and countryside relaxation.,Borabandh\download.jpeg; Borabandh\images (1).jpeg; Borabandh\images (2).jpeg; Borabandh\images (3).jpeg; Borabandh\images.jpeg,4.3,41.6,Moderate
98,chulachuli,ilam,"March–May, Sep–Nov","Tea gardens, Hills, Nature",Natural Attractions,"Trekking, Tea garden visits, Photography",Moderate,Road + Short Hike (<=2 hrs),26.915,87.923,1,"Chulachuli in Ilam district is known for its tea gardens and scenic landscapes. It is a culturally diverse area, with Rai, Limbu, and other communities living harmoniously.","From Kathmandu, travel toward Ilam District and continue to the Chulachuli community region.",80,"A green, hilly area known for tea gardens and peaceful scenery.",Chulachuli\download (1).jpeg; Chulachuli\download (2).jpeg; Chulachuli\download (3).jpeg; Chulachuli\download (4).jpeg; Chulachuli\download.jpeg,4.1,20,Low
99,mahamai,ilam,Mar–May; Sep–Nov,"Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.92,87.93,1,"Mahamai is a settlement in eastern Nepal, known for its agricultural practices and traditional village culture. It is surrounded by fertile land and forests.","From Kathmandu, travel toward Ilam District and continue to Mahamai village area.",76,A small settlement known for its simplicity and traditional rural charm.,Mahamai\download (1).jpeg; Mahamai\download (2).jpeg; Mahamai\download (3).jpeg; Mahamai\download (5).jpeg; Mahamai\download.jpeg,4.4,19.2,Low
100,danabari,ilam,"March–May, Sep–Nov","Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Tea garden visits, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.925,87.935,1,"Danabari in Ilam district is famous for its tea estates and lush greenery. It is a scenic destination, offering visitors a chance to experience tea culture and panoramic views","From Kathmandu, travel toward Ilam District and continue to Danabari village.",409,A lush tea-growing region with refreshing views and calm atmosphere.,Danabari\download (1).jpeg; Danabari\download (2).jpeg; Danabari\download (3).jpeg; Danabari\download (4).jpeg; Danabari\download.jpeg,4.5,40.9,Moderate
101,laxmipura,ilam,"March–May, Sep–Nov","Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.93,87.94,1,"Laxmipura is a rural settlement in Sunsari district, reflecting the agricultural lifestyle of the Terai. It is known for its fertile land and strong community traditions.","From Kathmandu, drive toward Morang District and continue to the local village of Laxmipura.",98,A quiet community area surrounded by fields and greenery.,Laxmipura\download (1).jpeg; Laxmipura\download (2).jpeg; Laxmipura\download (3).jpeg; Laxmipura\download (5).jpeg; Laxmipura\download.jpeg,4.2,24.5,Low
